"","1","2","3","1|2","1|3","2|1","2|3","3|1","3|2","","",""
"result.106",0.6328765,0.65310625,0.45880075,0.691563100077018,0.605669222482974,0.725886815972328,0.665614985256326,0.624203154123226,0.452242945646101,71,12,65.6692928899869
"result.107",0.62213725,0.29546425,0.62513425,0.497024670106667,0.881709277730717,0.35885452323455,0.259911352497647,0.909518806830131,0.711351388194369,72,16.362538493844,65.634195395137
"result.108",0.4700395,0.2842255,0.30645325,0.42077693727127,0.195066821897695,0.285211061961538,0.267894499687316,0.149075505361601,0.325491642175439,78,3,68.5230820228824
"result.109",0.73802125,0.17008975,0.55370575,0.617947997113097,0.882526274213515,0.224677524740106,0.198698013474791,0.870683890294337,0.611213560806221,78,9,68.6483745877761
"result.110",0.97578325,0.10115875,0.08267725,0.942715536949647,0.963919704816467,0.507644927927506,0.227857943627361,0.632833353406384,0.146852064596114,74,28.9063462346101,66.9446360966256
"result.111",0.2262835,0.447562,0.8456635,0.186338262443556,0.553455720374198,0.31162654208021,0.36997580972213,0.757488900574997,0.858140916130023,85,13.362538493844,69.7274790427978
"result.112",0.98027875,0.11814175,0.0944155,0.956493462477446,0.956467821302093,0.692307717746239,0.199967961896537,0.577751708447129,0.144721553667636,88,50.2469042856025,69.9805252311359
"result.113",0.578431,0.50225725,0.2932165,0.576833025258931,0.261517730124749,0.547283885725824,0.618203156530252,0.214862377208596,0.296129744995506,70,8.18126924692202,65.5310812367008
"result.114",0.13712275,0.8027065,0.95979925,0.22890288279504,0.796507744193617,0.504308880437118,0.443514040956184,0.944398469258696,0.933326894548249,96,44.0268202560219,70.7765943004499
"result.115",0.52948,0.451558,0.43981975,0.487303064934204,0.488551624068193,0.485657596327454,0.466634224866669,0.365513431426144,0.437535505929667,76,19.9063462346101,66.8466064287234
"result.116",0.196813,0.79146775,0.7647445,0.351219339196042,0.337439528641091,0.584776074418906,0.721692894394988,0.499340611348482,0.655140719401511,86,36.3893587498659,68.2200944263625
"result.117",0.38986975,0.4920175,0.3911185,0.348430174267865,0.160761401317109,0.459272109040372,0.477315135937486,0.157561737736595,0.388388246822357,84,8.18126924692202,69.8986549059016
"result.118",0.0824275,0.45530425,0.98177725,0.0629197206304913,0.6006892210061,0.282858658376376,0.392473139028355,0.949604257997649,0.980103701918285,81,11.181269246922,68.246175966807
"result.119",0.27248725,0.24401575,0.8826265,0.0888615534353226,0.774713945257593,0.0894898067417114,0.111723094434534,0.886296187784592,0.933136980141445,91,34.0876154815321,70.3838656981956
"result.120",0.61514425,0.467542,0.91134775,0.611870523039323,0.987135049508602,0.570406584287992,0.323533293976245,0.994743153262294,0.92091014932843,88,43.0596787959016,69.4638973849824
"result.121",0.88936975,0.140869,0.35440525,0.728440188003433,0.919460292849934,0.414055582144736,0.142022320694073,0.806713277416431,0.503989437982935,88,55.6482575621052,69.074430978068
"result.122",0.93332575,0.03272725,0.31969,0.391157971478644,0.9515601788364,0.162856510009269,0.0377879496974081,0.836828145211743,0.681556800284768,104,98.4267359415169,68.835216687223
"result.123",0.91184725,0.08467525,0.1293805,0.776863283188379,0.776831997908898,0.267672281937909,0.144823265271721,0.529126459057179,0.197583845502723,64,16.362538493844,63.3037059626994
"result.124",0.17983,0.78547375,0.64411525,0.198951063431208,0.153616606909932,0.733553210840307,0.80238029425751,0.209389834154385,0.647698175681683,73,3,66.3493492630373
"result.125",0.83492425,0.38337625,0.20105875,0.80892525016536,0.643495564665241,0.504076639045773,0.426579504018689,0.426622084279466,0.205388124830133,84,14.181269246922,70.2445707478945
"result.126",0.867142,0.71204725,0.04521475,0.938310381267403,0.347044053383216,0.899647565552449,0.862722471768885,0.0779394993352903,0.0368966386893467,74,16.362538493844,67.4254671252914
"result.127",0.60215725,0.0065035,0.531478,0.474892470437491,0.805988331368388,0.00337458435723875,0.0077000011879104,0.782825425534098,0.570511841454853,53,3,57.3544919601386
"result.128",0.891118,0.4550545,0.0784315,0.907815598476319,0.746139120994113,0.577806997879921,0.505380006107968,0.198853127525144,0.0791689866574173,71,3,67.1390047951455
"result.129",0.7097995,0.3601495,0.25450525,0.678549546206324,0.517211707456633,0.43592220475943,0.409690482115591,0.363759284169465,0.280745128822534,69,6,65.8577570304025
"result.130",0.02373625,0.96429475,0.78747175,0.0725065892151958,0.00160340018450817,0.81396723987312,0.935629581058979,0.0310572537318601,0.605956286349633,69,6,62.9297634906701
"result.131",0.26799175,0.38637325,0.7167925,0.25131565519934,0.410031447614714,0.343160442330172,0.367618360026179,0.57095381360218,0.7468659802528,81,3,69.2382850761791
"result.132",0.838171,0.0864235,0.352657,0.730246057233358,0.92215019371205,0.122827935974985,0.0876219953677174,0.798516388294281,0.401111401786798,72,5.18126924692202,67.343457990735
"result.133",0.498511,0.1343755,0.39786175,0.156585134616097,0.31516474082456,0.0653826321123625,0.166166455555278,0.325339631589686,0.56910522575259,79,32.6971403020575,66.9673249024819
"result.134",0.278731,0.990019,0.48577375,0.643661423319255,0.177494631477387,0.992044709711315,0.994067061155651,0.157352224919677,0.189359195538761,76,3,67.7898650853406
"result.135",0.1203895,0.217792,0.98177725,0.0836112301051513,0.978881960998206,0.17429379353398,0.173422570458782,0.995004691858768,0.991233852352795,64,3,61.9864535953415
"result.136",0.9105985,0.568441,0.05270725,0.919649074999221,0.555789408637709,0.657714301186769,0.676493992807677,0.183751206051755,0.0553152581992393,74,3,68.2345702818174
"result.137",0.3741355,0.553456,0.58117825,0.375293719980126,0.427338911304692,0.50376870710872,0.536561640541383,0.418904675956475,0.599597202583113,71,6,66.0539064112735
"result.138",0.32143825,0.100909,0.772237,0.0652888669670188,0.7209571410371,0.0279535079928576,0.0264585011122172,0.750340778886355,0.920523987296443,63,16.9063462346101,60.305434805901
"result.140",0.826183,0.345664,0.20205775,0.779387430579212,0.730944110679716,0.462498730109052,0.4674506522491,0.471645457791159,0.233885215717106,80,6,69.5754087645902
"result.141",0.39636325,0.49776175,0.838171,0.34634564586965,0.877754901368046,0.419675524901271,0.324730726604919,0.93216642117998,0.851210722282633,65,12,62.5789315221777
"result.142",0.356653,0.501508,0.470539,0.297706838153945,0.199496160963783,0.428959150772462,0.477202832839792,0.21681896488198,0.489658796503569,73,9,66.5606936952698
"result.143",0.5339755,0.7907185,0.38487475,0.599931140908826,0.348753712658243,0.801828304207139,0.807970223647358,0.349275063902549,0.316511950348701,78,3,68.847753789587
"result.144",0.4450645,0.49076875,0.8516575,0.48033735593588,0.935951811785791,0.472838015758889,0.478238513792195,0.960197733768189,0.855501452835339,74,58.9709468847608,58.9750623570745
"result.145",0.935074,0.181828,0.21554425,0.943356606114041,0.915188215195764,0.812716587540929,0.276268631680906,0.581680898889995,0.292409285361023,105,98.1011825735919,70.0093611630162
"result.146",0.46679275,0.751258,0.41384575,0.551340271875831,0.274481806540994,0.744741240493689,0.773623940117264,0.235470567391932,0.334298048239284,56,3,59.0778238705519
"result.147",0.99901,0.00775225,0.00125875,0.99901,0.994310340677125,1.00000000029043e-05,1.00003383769403e-05,0.00416112351196642,1e-05,69,17.181269246922,67.1616142137274
"result.148",0.19056925,0.8526565,0.59116825,0.396905477315592,0.0826563568341386,0.702438657155133,0.857941833479125,0.23452895684215,0.425623941265048,79,36.5158710551355,65.6512385597783
